system:time_start,LST_Day_1km
"Apr 27, 2017",
"Apr 28, 2017",
"Apr 29, 2017",
"Apr 30, 2017",
"May 1, 2017",
"May 2, 2017",
"May 3, 2017","14,918"
"May 4, 2017",
"May 5, 2017","15,036.436"
"May 6, 2017","14,935.26"
"May 7, 2017","15,073.306"
"May 8, 2017","14,820"
"May 9, 2017",
"May 10, 2017",
"May 11, 2017","14,878.651"
"May 12, 2017","15,095.046"
"May 13, 2017",
"May 14, 2017","14,877.217"
"May 15, 2017",
"May 16, 2017","14,877.434"
"May 17, 2017","14,745"
"May 18, 2017","14,840.176"
"May 19, 2017","14,950.438"
"May 20, 2017",
"May 21, 2017","14,854.34"
"May 22, 2017","14,845.959"
"May 23, 2017","14,989.041"
"May 24, 2017","15,014.085"
"May 25, 2017","14,985.479"
"May 26, 2017","15,079.043"
"May 27, 2017","14,887.306"
"May 28, 2017","14,985.655"
"May 29, 2017",
"May 30, 2017",
"May 31, 2017","14,880.783"
"Jun 1, 2017","14,824.826"
"Jun 2, 2017","14,952.397"
"Jun 3, 2017",
"Jun 4, 2017","14,975.913"
"Jun 5, 2017",
"Jun 6, 2017","14,850"
"Jun 7, 2017","15,017.393"
"Jun 8, 2017","14,913.607"
"Jun 9, 2017",
"Jun 10, 2017",
"Jun 11, 2017","14,958.221"
"Jun 12, 2017","14,876.61"
"Jun 13, 2017","15,036.185"
"Jun 14, 2017","14,875"
"Jun 15, 2017","14,959.135"
"Jun 16, 2017",
"Jun 17, 2017","14,868"
"Jun 18, 2017","14,776.13"
"Jun 19, 2017",
"Jun 20, 2017","14,880.171"
"Jun 21, 2017",
"Jun 22, 2017","14,916.347"
"Jun 23, 2017","14,954.61"
"Jun 24, 2017",
"Jun 25, 2017","14,847.349"
"Jun 26, 2017","14,791.523"
"Jun 27, 2017","14,805.347"
"Jun 28, 2017","14,763"
"Jun 29, 2017","14,915.219"
"Jun 30, 2017",
"Jul 1, 2017","14,866.046"
"Jul 2, 2017",
"Jul 3, 2017","14,806"
"Jul 4, 2017",
"Jul 5, 2017",
"Jul 6, 2017","14,930.564"
