system:time_start,LST_Day_1km
"Apr 29, 2017",
"Apr 30, 2017",
"May 1, 2017",
"May 2, 2017",
"May 3, 2017","15,030.583"
"May 4, 2017",
"May 5, 2017","15,118.433"
"May 6, 2017","15,145.596"
"May 7, 2017","15,073.721"
"May 8, 2017","15,181.395"
"May 9, 2017","14,975.111"
"May 10, 2017","15,198.984"
"May 11, 2017",
"May 12, 2017","15,178.012"
"May 13, 2017",
"May 14, 2017","14,733.494"
"May 15, 2017",
"May 16, 2017",
"May 17, 2017","15,076.488"
"May 18, 2017",
"May 19, 2017","15,098.328"
"May 20, 2017",
"May 21, 2017",
"May 22, 2017","14,905"
"May 23, 2017","14,989.845"
"May 24, 2017","15,128.353"
"May 25, 2017","14,987.491"
"May 26, 2017","15,116.785"
"May 27, 2017",
"May 28, 2017",
"May 29, 2017",
"May 30, 2017",
"May 31, 2017","14,970.59"
"Jun 1, 2017","14,904.698"
"Jun 2, 2017","15,074.558"
"Jun 3, 2017",
"Jun 4, 2017","15,097.848"
"Jun 5, 2017","15,007.192"
"Jun 6, 2017","15,023.009"
"Jun 7, 2017",
"Jun 8, 2017","14,973.687"
"Jun 9, 2017","15,060.506"
"Jun 10, 2017",
"Jun 11, 2017",
"Jun 12, 2017",
"Jun 13, 2017","15,150.582"
"Jun 14, 2017","15,066.451"
"Jun 15, 2017",
"Jun 16, 2017","15,027.743"
"Jun 17, 2017",
"Jun 18, 2017","15,027"
"Jun 19, 2017",
"Jun 20, 2017",
"Jun 21, 2017","15,017.62"
"Jun 22, 2017","15,026.053"
"Jun 23, 2017","15,112.609"
"Jun 24, 2017",
"Jun 25, 2017",
"Jun 26, 2017",
"Jun 27, 2017",
"Jun 28, 2017",
"Jun 29, 2017","15,106.763"
"Jun 30, 2017",
"Jul 1, 2017",
"Jul 2, 2017","15,056.177"
"Jul 3, 2017",
"Jul 4, 2017",
"Jul 5, 2017",
"Jul 6, 2017",
"Jul 7, 2017",
"Jul 8, 2017","14,965"
"Jul 9, 2017",
"Jul 10, 2017","14,982.885"
"Jul 11, 2017","15,177.489"
"Jul 12, 2017",
"Jul 13, 2017","15,125.233"
"Jul 14, 2017",
"Jul 15, 2017","15,124.313"
"Jul 16, 2017","15,122.094"
"Jul 17, 2017","15,122.024"
"Jul 18, 2017",
"Jul 19, 2017",
"Jul 20, 2017","14,934.57"
"Jul 21, 2017",
"Jul 22, 2017","15,196.794"
"Jul 23, 2017","15,071.415"
"Jul 24, 2017",
"Jul 25, 2017","14,837.536"
"Jul 26, 2017",
"Jul 27, 2017","15,086.323"
"Jul 28, 2017",
"Jul 29, 2017","14,731.506"
"Jul 30, 2017",
"Jul 31, 2017",
"Aug 1, 2017",
"Aug 2, 2017","14,976.311"
"Aug 3, 2017","15,162.594"
"Aug 4, 2017","15,048.214"
"Aug 5, 2017","15,203.559"
"Aug 6, 2017",
"Aug 7, 2017","15,148.583"
"Aug 8, 2017",
"Aug 9, 2017",
"Aug 10, 2017",
"Aug 11, 2017",
"Aug 12, 2017","15,354.595"
"Aug 13, 2017",
"Aug 14, 2017","15,399.635"
"Aug 15, 2017",
"Aug 16, 2017","15,334.5"
"Aug 17, 2017","15,385.027"
"Aug 18, 2017","15,096.433"
"Aug 19, 2017",
"Aug 20, 2017","15,050.62"
"Aug 21, 2017","14,856.853"
"Aug 22, 2017","15,068.188"
"Aug 23, 2017","15,534.932"
"Aug 24, 2017",
"Aug 25, 2017",
"Aug 26, 2017",
"Aug 27, 2017",
"Aug 28, 2017","15,233.746"
"Aug 29, 2017",
"Aug 30, 2017","15,549.129"
"Aug 31, 2017",
"Sep 1, 2017","15,468.453"
"Sep 2, 2017",
"Sep 3, 2017","15,279.82"
"Sep 4, 2017",
"Sep 5, 2017",
"Sep 6, 2017","15,610.337"
"Sep 7, 2017","15,183.117"
"Sep 8, 2017","15,601.186"
"Sep 9, 2017","15,546.975"
"Sep 10, 2017","15,508.647"
"Sep 11, 2017","15,572.455"
"Sep 12, 2017","15,541.032"
"Sep 13, 2017","15,756.338"
"Sep 14, 2017","15,427.48"
"Sep 15, 2017","15,315.022"
"Sep 16, 2017",
"Sep 17, 2017","15,609.316"
"Sep 18, 2017",
"Sep 19, 2017",
"Sep 20, 2017",
"Sep 21, 2017",
"Sep 22, 2017","15,445.102"
"Sep 23, 2017","15,344.617"
"Sep 24, 2017",
"Sep 25, 2017",
"Sep 26, 2017","15,674.339"
"Sep 27, 2017",
"Sep 28, 2017",
"Sep 29, 2017",
"Sep 30, 2017","15,456.277"
"Oct 1, 2017",
"Oct 2, 2017",
"Oct 3, 2017",
"Oct 4, 2017","15,649.653"
"Oct 5, 2017","15,662.9"
"Oct 6, 2017","15,533.789"
"Oct 7, 2017",
"Oct 8, 2017","15,864.221"
"Oct 9, 2017",
"Oct 10, 2017",
"Oct 11, 2017",
"Oct 12, 2017","15,353.513"
"Oct 13, 2017","15,264.577"
"Oct 14, 2017",
"Oct 15, 2017","15,665.232"
"Oct 16, 2017","15,263.287"
"Oct 17, 2017","15,913.296"
"Oct 18, 2017",
"Oct 19, 2017",
"Oct 20, 2017","15,415.445"
"Oct 21, 2017",
"Oct 22, 2017","15,588.754"
"Oct 23, 2017",
"Oct 24, 2017","16,010.285"
"Oct 25, 2017","15,131.386"
"Oct 26, 2017","16,091.847"
"Oct 27, 2017",
"Oct 28, 2017",
"Oct 29, 2017",
"Oct 30, 2017",
"Oct 31, 2017",
"Nov 1, 2017",
"Nov 2, 2017","15,629.793"
"Nov 3, 2017",
"Nov 4, 2017","15,679.01"
"Nov 5, 2017",
"Nov 6, 2017","15,681.174"
"Nov 7, 2017","15,843.279"
"Nov 8, 2017","15,428.342"
"Nov 9, 2017",
"Nov 10, 2017",
"Nov 11, 2017",
"Nov 12, 2017",
"Nov 13, 2017",
"Nov 14, 2017",
"Nov 15, 2017",
"Nov 16, 2017",
"Nov 17, 2017",
"Nov 18, 2017",
"Nov 19, 2017",
"Nov 20, 2017","15,493.15"
"Nov 21, 2017","15,652.233"
"Nov 22, 2017","15,705.908"
"Nov 23, 2017",
"Nov 24, 2017","15,367"
"Nov 25, 2017",
"Nov 26, 2017",
"Nov 27, 2017",
"Nov 28, 2017",
"Nov 29, 2017",
"Nov 30, 2017",
"Dec 1, 2017","15,607.181"
"Dec 2, 2017","15,982.706"
"Dec 3, 2017","15,985.608"
"Dec 4, 2017","16,212.448"
"Dec 5, 2017",
"Dec 6, 2017",
"Dec 7, 2017",
"Dec 8, 2017",
"Dec 9, 2017",
"Dec 10, 2017",
"Dec 11, 2017",
"Dec 12, 2017",
"Dec 13, 2017",
"Dec 14, 2017",
"Dec 15, 2017",
"Dec 16, 2017",
"Dec 17, 2017","15,587.844"
"Dec 18, 2017","15,827.399"
"Dec 19, 2017",
"Dec 20, 2017",
"Dec 21, 2017",
"Dec 22, 2017",
"Dec 23, 2017",
"Dec 24, 2017",
"Dec 25, 2017",
"Dec 26, 2017",
"Dec 27, 2017",
"Dec 28, 2017",
"Dec 29, 2017","15,424.817"
"Dec 30, 2017","15,267.044"
"Dec 31, 2017","15,569.723"
"Jan 1, 2018",
"Jan 2, 2018","15,456.513"
"Jan 3, 2018",
"Jan 4, 2018",
"Jan 5, 2018","15,442.428"
"Jan 6, 2018",
"Jan 7, 2018","15,561.616"
"Jan 8, 2018","15,514.549"
"Jan 9, 2018",
"Jan 10, 2018",
"Jan 11, 2018","15,159"
"Jan 12, 2018","15,369.08"
"Jan 13, 2018",
"Jan 14, 2018",
"Jan 15, 2018",
"Jan 16, 2018",
"Jan 17, 2018",
"Jan 18, 2018",
"Jan 19, 2018","15,047.132"
"Jan 20, 2018",
"Jan 21, 2018","15,310.655"
"Jan 22, 2018",
"Jan 23, 2018",
"Jan 24, 2018","15,339.866"
"Jan 25, 2018","15,619.864"
"Jan 26, 2018","15,409.597"
"Jan 27, 2018",
"Jan 28, 2018","15,556.62"
"Jan 29, 2018",
"Jan 30, 2018",
"Jan 31, 2018",
"Feb 1, 2018","15,569.222"
"Feb 2, 2018",
"Feb 3, 2018",
"Feb 4, 2018",
"Feb 5, 2018",
"Feb 6, 2018","15,204.096"
